ID,Comments,AuthorA,MTTF,Labels,Reactions
177669684,26,CONTRIBUTOR,1977,module: sparse,5
184100988,10,CONTRIBUTOR,1609,triage review,5
206271010,2,NONE,1559,oncall: quantization,1
207957684,130,NONE,1818,module: nn,45
211165936,9,CONTRIBUTOR,1826,oncall: binaries,0
218427556,4,NONE,1796,oncall: distributed,0
219337984,2,MEMBER,1608,module: autograd,0
219358874,10,MEMBER,1792,triaged,0
221661253,9,CONTRIBUTOR,1539,module: onnx,34
228538994,24,CONTRIBUTOR,1713,high priority,19
232346267,7,NONE,1388,oncall: jit,0
234111778,5,NONE,1728,triaged,0
247204853,9,NONE,1673,,4
249722575,29,CONTRIBUTOR,1608,oncall: distributed,18
255078681,6,NONE,1639,triaged,0
256978081,12,NONE,1447,module: ci,3
258979521,10,CONTRIBUTOR,1321,module: onnx,48
261349194,1,CONTRIBUTOR,1377,,0
261827241,2,NONE,1623,oncall: profiler,0
262620810,11,NONE,1946,oncall: distributed,2
263762887,11,CONTRIBUTOR,1344,triaged,13
266403375,19,NONE,1745,module: cpu,4
267048136,32,NONE,1272,,9
277130975,9,CONTRIBUTOR,1463,oncall: distributed,0
280627770,12,CONTRIBUTOR,1360,high priority,0
281007907,27,NONE,1877,triaged,0
281577079,1,CONTRIBUTOR,1876,,1
281961353,9,NONE,1516,high priority,24
283004423,13,NONE,1763,high priority,0
285696712,0,NONE,1668,module: performance,0
287561222,2,CONTRIBUTOR,1310,high priority,0
288378510,37,NONE,1241,triaged,2
289037625,5,MEMBER,1328,high priority,0
290676141,12,NONE,1221,module: bootcamp,6
290967371,1,COLLABORATOR,1314,oncall: distributed,0
294527495,26,NONE,1175,oncall: binaries,30
295076873,2,NONE,1282,high priority,0
297561165,21,COLLABORATOR,1184,module: ci,12
297564467,7,CONTRIBUTOR,1420,module: ci,4
310333817,8,NONE,1375,module: dataloader,6
311076589,6,NONE,1344,high priority,0
311632442,17,MEMBER,1404,high priority,39
314615728,3,NONE,1278,module: cuda,0
315701320,0,NONE,1371,module: flaky-tests,0
316134412,3,COLLABORATOR,1274,needs reproduction,0
316467576,4,COLLABORATOR,1354,,0
320140574,2,NONE,1181,module: ci,0
320588686,2,NONE,1194,module: nn,0
320591956,5,NONE,1620,module: nn,0
321796991,48,CONTRIBUTOR,1208,oncall: binaries,90
322314245,33,NONE,1343,triaged,22
323588188,6,NONE,1248,triaged,0
323732172,13,NONE,1250,module: bootcamp,0
324366365,2,NONE,1613,,0
324971329,7,NONE,1243,oncall: distributed,0
326705876,6,CONTRIBUTOR,1238,module: build,0
326705974,5,NONE,1238,module: serialization,1
327921242,3,COLLABORATOR,1168,,1
328373619,12,NONE,1195,module: docs,1
328406579,2,NONE,1168,good first issue,0
328685141,10,CONTRIBUTOR,1332,,0
328904979,23,NONE,1702,module: crash,0
333035076,7,NONE,1216,high priority,0
335142858,13,NONE,1683,,0
336660528,16,COLLABORATOR,1104,,0
337090968,2,CONTRIBUTOR,1140,,0
337224651,5,CONTRIBUTOR,1318,,0
337316511,4,COLLABORATOR,1317,,0
338515216,10,NONE,1671,,0
338687758,30,CONTRIBUTOR,1398,,4
339107964,8,COLLABORATOR,1669,,0
339981399,4,NONE,1108,,0
342748640,6,CONTRIBUTOR,1132,,0
344505530,2,NONE,1126,,0
345104216,11,NONE,949,,3
346020222,5,CONTRIBUTOR,1120,,0
347538989,91,NONE,1283,,64
348129825,0,CONTRIBUTOR,944,,0
348445411,8,CONTRIBUTOR,1280,,0
349527918,3,NONE,1215,,0
351010608,1,CONTRIBUTOR,915,,1
351029247,5,NONE,914,,0
351340121,2,COLLABORATOR,914,,0
352519720,1,NONE,923,,0
352525724,7,NONE,1434,,2
353393611,1,NONE,922,,0
353879587,1,NONE,920,,0
353880607,0,COLLABORATOR,920,,0
354124552,3,CONTRIBUTOR,1509,,0
354278017,3,NONE,917,,0
354684995,30,NONE,1245,,4
354797982,1,NONE,916,,0
355257099,14,NONE,1510,,0
355412787,1,NONE,914,,1
355421848,2,COLLABORATOR,914,,0
355472651,8,NONE,914,,0
355880298,3,NONE,1283,,1
356219855,26,NONE,1230,,1
356627261,2,CONTRIBUTOR,921,,0
356717183,3,NONE,920,,0
357394869,11,NONE,1236,,0
357412348,2,COLLABORATOR,919,,0
357953627,3,CONTRIBUTOR,917,,0
358137186,1,NONE,917,,0
358166118,13,COLLABORATOR,1249,,5
358752658,3,NONE,914,,0
358784930,1,NONE,914,,0
358846809,2,CONTRIBUTOR,916,,0
359121411,1,NONE,916,,2
359126568,3,COLLABORATOR,915,,0
359198779,1,CONTRIBUTOR,915,,0
359744043,1,NONE,1064,,2
360143555,5,NONE,915,,0
360675406,2,NONE,914,,0
361057780,5,NONE,1124,,0
362805079,22,COLLABORATOR,1041,,39
362844016,12,CONTRIBUTOR,1404,,12
362883560,4,NONE,915,,3
362984390,8,NONE,914,,0
363096261,2,NONE,914,,0
363203090,47,MEMBER,1082,,0
363853789,5,CONTRIBUTOR,917,,12
363998098,2,NONE,1063,,0
364029412,4,COLLABORATOR,1484,,4
364764338,0,NONE,915,,0
365124634,3,NONE,914,,0
365185650,8,NONE,914,,0
365233173,5,NONE,914,,0
365484714,3,NONE,924,,0
365663372,0,NONE,1121,,0
366027915,3,NONE,923,,3
366149907,1,NONE,922,,0
366633388,5,CONTRIBUTOR,921,,2
367000861,4,NONE,921,,0
367078558,2,NONE,921,,0
367367377,1,CONTRIBUTOR,920,,0
367579624,7,NONE,918,,0
367673883,4,COLLABORATOR,917,,1
367925991,1,NONE,917,,0
367927202,1,COLLABORATOR,917,,0
367963827,1,CONTRIBUTOR,917,,2
367978762,4,NONE,966,,0
368320307,5,CONTRIBUTOR,916,,0
368391247,2,CONTRIBUTOR,916,,0
368482073,1,NONE,915,,0
368589266,2,NONE,915,,0
368598017,4,NONE,915,,0
368677062,2,NONE,915,,0
368746810,4,NONE,915,,0
368970882,5,CONTRIBUTOR,914,,2
369139481,1,CONTRIBUTOR,914,,0
369378460,0,NONE,914,,0
369440058,3,NONE,914,,0
369605515,1,NONE,913,,0
369687044,5,CONTRIBUTOR,913,,0
369906943,15,CONTRIBUTOR,1017,,0
369941367,3,CONTRIBUTOR,872,,3
370098244,7,NONE,1541,,0
370665682,1,NONE,917,,3
371471365,4,NONE,921,,0
371643303,1,CONTRIBUTOR,915,,0
371648087,2,CONTRIBUTOR,1511,,0
371669037,40,NONE,1209,,8
371791696,2,NONE,1376,,0
371991961,9,NONE,916,,0
372666631,1,CONTRIBUTOR,913,,0
372667744,4,CONTRIBUTOR,913,,0
372945083,2,NONE,918,,0
373389989,24,NONE,936,,0
373523929,5,CONTRIBUTOR,917,,3
373936077,4,NONE,1455,,0
373959337,2,NONE,916,,1
373999242,5,NONE,917,,0
374022040,1,NONE,1034,,0
374109484,1,CONTRIBUTOR,915,,0
374196941,2,NONE,1085,,0
374529711,2,CONTRIBUTOR,914,,0
374545296,3,CONTRIBUTOR,914,,0
374573348,4,COLLABORATOR,914,,0
374835256,2,CONTRIBUTOR,921,,0
375124401,1,CONTRIBUTOR,921,,0
375146093,1,CONTRIBUTOR,921,,0
375261614,1,CONTRIBUTOR,920,,1
375347597,6,NONE,920,,0
375766046,3,CONTRIBUTOR,1413,,0
375808514,8,NONE,895,,0
375860488,3,NONE,919,,3
375996628,1,MEMBER,919,,0
376099172,7,NONE,1449,,0
376268852,1,NONE,918,,0
376807924,2,NONE,917,,0
376876459,14,NONE,917,,0
377077924,4,CONTRIBUTOR,916,,0
377116940,3,NONE,919,,3
377562112,12,NONE,1084,,0
377668330,6,CONTRIBUTOR,918,,0
377863194,1,CONTRIBUTOR,917,,0
377994673,1,CONTRIBUTOR,917,,0
378020623,2,NONE,917,,0
378090219,8,NONE,917,,0
378594242,3,NONE,915,,0
378893695,3,NONE,915,,0
379014797,1,COLLABORATOR,915,,0
379662663,6,NONE,918,,7
380634583,28,NONE,1119,,9
380680223,3,NONE,915,,0
380844181,8,MEMBER,914,,1
381364181,0,NONE,859,,0
381371386,1,CONTRIBUTOR,913,,0
381975245,3,NONE,917,,0
382481269,4,NONE,916,,0
382534216,1,COLLABORATOR,916,,0
382799929,2,CONTRIBUTOR,839,,2
383428338,1,NONE,1006,,0
383987822,2,NONE,920,,7
384164557,4,NONE,918,,0
384179166,19,CONTRIBUTOR,918,,0
384194942,1,NONE,918,,0
384256241,2,COLLABORATOR,953,,0
384592400,13,NONE,1001,,0
384596404,1,NONE,917,,0
384611753,1,NONE,1002,,1
384723488,1,NONE,917,,0
384985637,3,NONE,917,,1
384986057,1,CONTRIBUTOR,917,,0
385144245,1,NONE,916,,0
385164717,1,NONE,916,,0
385181400,4,NONE,1052,,1
385369799,1,CONTRIBUTOR,916,,0
385793495,8,CONTRIBUTOR,915,,0
385839616,1,CONTRIBUTOR,915,,0
385853613,5,CONTRIBUTOR,915,,0
385869763,3,CONTRIBUTOR,915,,0
385872867,3,CONTRIBUTOR,872,,0
385981054,2,NONE,914,,0
386023988,1,NONE,914,,2
386105888,1,NONE,914,,0
386197063,0,NONE,1229,,0
386201792,3,NONE,914,,0
386415261,3,NONE,914,,0
386517974,2,NONE,915,,2
387064055,4,NONE,1225,,0
388015397,0,NONE,915,,0
388465790,11,NONE,992,,0
388471366,5,NONE,1412,,0
388535625,1,MEMBER,914,,0
388764180,3,CONTRIBUTOR,913,,0
388938699,3,NONE,991,,1
388968543,3,NONE,990,,14
388996846,3,NONE,919,,1
389038813,1,NONE,919,,0
389177543,9,NONE,918,,2
389395347,1,CONTRIBUTOR,918,,0
389659850,1,NONE,917,,0
389871621,0,CONTRIBUTOR,917,,0
389876540,1,CONTRIBUTOR,917,,0
390036233,3,NONE,917,,0
390425300,3,CONTRIBUTOR,916,,0
390534816,2,NONE,1512,,0
390567960,4,CONTRIBUTOR,915,,0
390582573,3,NONE,915,,0
390737888,1,CONTRIBUTOR,915,,0
390993287,7,NONE,1406,,0
391346100,2,NONE,916,,0
391357286,1,NONE,915,,0
391431667,3,NONE,914,,0
391648380,8,NONE,1169,,0
392226144,4,CONTRIBUTOR,920,,0
392232490,3,CONTRIBUTOR,920,,0
392239008,4,CONTRIBUTOR,920,,0
392253170,7,CONTRIBUTOR,920,,0
392306145,4,CONTRIBUTOR,920,,0
392702535,1,CONTRIBUTOR,919,,0
392712885,2,CONTRIBUTOR,919,,0
392858706,9,NONE,1405,,0
393074384,2,NONE,918,,0
393194873,0,CONTRIBUTOR,918,,0
393466657,1,NONE,917,,0
393614115,2,CONTRIBUTOR,916,,0
393682407,2,NONE,916,,0
393977861,2,NONE,916,,0
394803453,4,CONTRIBUTOR,925,,0
394842491,30,CONTRIBUTOR,985,,5
394851067,2,COLLABORATOR,925,,0
394857095,3,NONE,925,,0
395001668,2,NONE,923,,0
395021873,11,NONE,968,,1
395386220,2,CONTRIBUTOR,1384,,0
395563732,3,CONTRIBUTOR,921,,0
395590728,2,NONE,920,,0
395878171,4,NONE,1383,,0
396670240,3,COLLABORATOR,916,,4
396749990,6,CONTRIBUTOR,916,,0
397303806,7,CONTRIBUTOR,1008,,0
398531465,2,NONE,915,,0
399164590,8,NONE,1105,,0
400188178,2,NONE,1002,,2
400449395,38,CONTRIBUTOR,854,,16
401542106,3,NONE,998,,0
402493816,1,COLLABORATOR,944,,0
402638498,3,NONE,914,,0
402785117,1,CONTRIBUTOR,914,,0
402848155,3,CONTRIBUTOR,1346,,1
402882479,1,COLLABORATOR,914,,0
403447865,2,NONE,915,,0
403729453,6,NONE,919,,0
403846633,5,NONE,919,,0
404250728,1,NONE,939,,0
404415049,5,CONTRIBUTOR,917,,0
404491420,3,MEMBER,917,,1
404659075,5,NONE,917,,0
404950079,3,CONTRIBUTOR,916,,1
404952651,24,CONTRIBUTOR,805,,69
405061380,14,CONTRIBUTOR,917,,0
405069189,4,CONTRIBUTOR,916,,0
405410936,2,COLLABORATOR,893,,0
406021165,5,CONTRIBUTOR,913,,0
406187810,8,COLLABORATOR,1373,,0
406335465,2,NONE,914,,0
406865463,21,NONE,951,,0
407201750,6,NONE,931,,0
408150094,1,NONE,921,,0
408396880,3,NONE,920,,0
408516567,2,NONE,919,,0
408518494,2,NONE,919,,0
408576988,4,CONTRIBUTOR,987,,0
408891149,15,NONE,918,,0
409008450,3,CONTRIBUTOR,917,,0
409098210,2,NONE,917,,0
409409454,6,CONTRIBUTOR,817,,5
409943346,0,MEMBER,915,,0
409965803,1,CONTRIBUTOR,915,,0
410105967,0,NONE,915,,0
410140112,0,MEMBER,915,,0
410623970,1,NONE,914,,0
410797077,5,NONE,1008,,0
411089916,2,NONE,922,,0
411162217,3,CONTRIBUTOR,921,,0
411626219,7,NONE,923,,0
411760070,2,CONTRIBUTOR,917,,0
413174211,1,NONE,916,,0
413374375,12,COLLABORATOR,865,,0
414703319,1,NONE,915,,0
414763163,1,CONTRIBUTOR,915,,2
415667477,3,CONTRIBUTOR,914,,0
415689029,3,CONTRIBUTOR,992,,0
416407859,2,CONTRIBUTOR,914,,0
416965790,8,CONTRIBUTOR,921,,0
419557925,3,NONE,916,,0
419664010,0,CONTRIBUTOR,914,,0
419694962,5,NONE,882,,1
420133833,1,NONE,899,,0
420168137,10,CONTRIBUTOR,1063,,0
420390429,1,NONE,915,,0
421172791,16,CONTRIBUTOR,1211,,24
421926566,41,NONE,978,,4
422356288,16,NONE,841,,15
423852954,6,CONTRIBUTOR,1019,,1
424074237,1,NONE,908,,0
424900336,8,NONE,970,,1
425645340,2,CONTRIBUTOR,915,,0
425851216,4,NONE,968,,0
427132255,56,NONE,808,,104
427135521,34,CONTRIBUTOR,692,,0
427249770,2,NONE,965,,0
428452441,2,MEMBER,1301,,0
428457257,1,CONTRIBUTOR,735,,0
430654869,12,NONE,813,,22
431282901,9,CONTRIBUTOR,1031,,0
431902958,2,NONE,888,,0
433480759,14,NONE,777,,0
434634378,3,NONE,991,,0
435328876,2,CONTRIBUTOR,759,,0
435968756,13,NONE,941,,0
436435250,4,NONE,880,,0
438015784,5,NONE,876,,0
438672057,2,NONE,874,,0
438917857,23,NONE,1014,,0
439179813,4,NONE,978,,0
439447146,2,COLLABORATOR,796,,0
439917329,2,NONE,931,,0
440286415,2,NONE,1263,,0
441518428,4,NONE,926,,0
442360052,1,MEMBER,865,,0
442935919,1,CONTRIBUTOR,656,,0
443611819,7,NONE,921,,4
444207960,6,NONE,1311,,0
446839913,12,CONTRIBUTOR,1111,,0
447529622,7,NONE,851,,0
447787452,3,CONTRIBUTOR,890,,6
447967716,5,NONE,874,,4
448392413,6,NONE,954,,0
448611643,4,NONE,871,,0
448871142,2,NONE,1345,,0
452457169,4,NONE,838,,0
452513960,12,CONTRIBUTOR,736,,0
452855566,9,CONTRIBUTOR,848,,0
452948297,10,NONE,1258,,0
453201484,2,CONTRIBUTOR,977,,0
455077346,3,NONE,831,,0
455240874,34,NONE,856,,327
455611897,6,CONTRIBUTOR,855,,0
456218277,2,NONE,934,,0
456475627,2,CONTRIBUTOR,733,,0
457521764,12,NONE,1224,,1
458220131,26,NONE,816,,18
459176796,6,CONTRIBUTOR,718,,3
459443393,2,CONTRIBUTOR,1215,,0
459586407,6,NONE,880,,0
461828249,23,NONE,723,,1
462620581,3,NONE,890,,0
463083957,54,NONE,1221,,21
463391157,6,NONE,951,,0
463655436,8,NONE,1205,,0
463699762,13,CONTRIBUTOR,845,,17
464693554,3,NONE,923,,1
464829811,26,NONE,960,,8
464916847,2,NONE,932,,0
465353673,4,NONE,1198,,0
465895532,18,NONE,765,,1
467102592,2,NONE,760,,0
467207952,7,COLLABORATOR,1200,,0
467557317,12,CONTRIBUTOR,864,,19
468162631,4,NONE,945,,0
468205249,3,NONE,891,,1
468263807,9,CONTRIBUTOR,891,,0
468347767,9,CONTRIBUTOR,633,,0
468564357,28,NONE,890,,5
469044035,10,NONE,889,,0
470545164,5,NONE,887,,0
470850642,3,NONE,758,,0
470993505,15,NONE,1099,,2
473401504,2,NONE,880,,0
473468303,1,CONTRIBUTOR,902,,0
473613578,10,NONE,927,,0
473618056,6,NONE,762,,1
473619700,28,NONE,815,,18
476030524,19,NONE,873,,0
476470467,11,NONE,919,,0
477431612,1,CONTRIBUTOR,1118,,0
478155081,3,COLLABORATOR,1153,,5
478198796,1,COLLABORATOR,900,,0
478337458,7,NONE,867,,0
478673079,15,COLLABORATOR,910,,0
479297023,5,NONE,865,,0
480006091,3,NONE,862,,0
480025265,21,NONE,862,,0
481014013,2,NONE,860,,0
481485225,13,NONE,1248,,0
481508013,6,NONE,634,,1
481619134,2,NONE,951,,0
481740397,7,CONTRIBUTOR,888,,0
481746178,0,CONTRIBUTOR,677,,0
481746313,0,CONTRIBUTOR,584,,0
481746364,0,CONTRIBUTOR,607,,0
481746379,1,CONTRIBUTOR,670,,0
481746392,1,CONTRIBUTOR,670,,0
481746889,0,CONTRIBUTOR,618,,0
481746904,0,CONTRIBUTOR,690,,0
481746916,0,CONTRIBUTOR,690,,0
481747130,0,CONTRIBUTOR,691,,0
481747138,0,CONTRIBUTOR,691,,0
481747150,0,CONTRIBUTOR,739,,0
481747209,0,CONTRIBUTOR,607,,0
481747242,0,CONTRIBUTOR,694,,0
481747250,0,CONTRIBUTOR,694,,0
481747261,0,CONTRIBUTOR,707,,0
