ID,Comments,AuthorA,MTTF,Labels,Reactions
115928097,542,NONE,2054,stat:contributions welcome,754
119009957,14,CONTRIBUTOR,2128,stat:awaiting response,0
141753240,27,CONTRIBUTOR,2043,stat:awaiting response,0
151235937,28,CONTRIBUTOR,2007,stat:awaiting tensorflower,41
161807205,12,CONTRIBUTOR,1916,stat:awaiting response,9
169321954,35,CONTRIBUTOR,1939,stat:awaiting response,0
176446409,16,NONE,1854,type:support,0
179892542,47,CONTRIBUTOR,1933,stat:awaiting response,17
179892964,4,CONTRIBUTOR,1932,type:docs-bug,13
180548412,14,NONE,2038,stat:awaiting response,3
181616802,24,NONE,1687,stat:awaiting response,32
182532851,21,NONE,1834,stat:awaiting tensorflower,10
187666994,11,NONE,2180,stat:awaiting response,1
192464124,25,CONTRIBUTOR,2157,stat:awaiting response,5
196633923,25,NONE,1709,stat:awaiting response,1
201531371,10,NONE,1733,type:docs-bug,0
202365940,9,CONTRIBUTOR,1949,stat:awaiting response,0
203742014,33,NONE,1707,stat:awaiting tensorflower,0
206880034,16,CONTRIBUTOR,1881,stat:awaiting tensorflower,5
208907463,9,NONE,1827,stat:awaiting response,0
209665505,22,CONTRIBUTOR,1681,stat:awaiting response,0
210952601,29,NONE,1931,comp:lite,0
213119932,23,CONTRIBUTOR,1729,stat:awaiting response,15
213723772,4,NONE,1522,,2
214690523,7,NONE,1812,,4
215748991,23,NONE,1946,,0
216441090,4,NONE,1478,,0
217517126,48,NONE,1840,,9
218633809,4,NONE,1893,,0
221485802,12,NONE,1881,,0
221681884,14,CONTRIBUTOR,1880,,4
221742880,14,NONE,1637,,5
222069607,5,NONE,2000,,0
222504069,2,CONTRIBUTOR,1492,,0
222908250,23,CONTRIBUTOR,1653,,5
224097674,12,NONE,1644,,0
226144821,7,CONTRIBUTOR,1983,,0
226301921,12,NONE,1986,,0
228374432,26,NONE,1719,,4
228772125,10,NONE,1774,,0
228790793,6,NONE,1848,,3
228892895,7,CONTRIBUTOR,1493,,0
